school_name,status,active_url,num_pdfs,,,
"AMERICAN INSTITUTE OF INTERIOR DESIGN, LLC",200,1,,,,
AMERICAN INTERCONTINENTAL UNIVERSITY,200,1,,,,
"ARIZONA ACADEMY OF BEAUTY, INC.","HTTPSConnectionPool(host='www.arizonaacademy.com', port=443): Max retries exceeded with url: /heerf-fund-reports.html (Caused by SSLError(SSLCertVerificationError(""hostname 'www.arizonaacademy.com' doesn't match either of '*.weebly.com', 'weebly.com'"")))",0,0,,,
ARIZONA CHRISTIAN UNIVERSITY,200,1,,,,
ARIZONA CULINARY INSTITUTE,403,0,0,,,
ARIZONA INSTITUTE LLC,403,0,0,,,
ARIZONA SCHOOL OF ACUPUNCTURE AND ORIENTAL MEDICINE CORPORAT,200,1,,,,
"ARIZONA SCHOOL OF INTERGRATIVE STUDIES, L.L.C.",200,1,,,,
"ART CENTER, INC.",Invalid URL 'https://': No host supplied,0,0,,,
AZ BOARD OF REGENTS ON BEHALF OF ARIZONA STATE UNIVERSITY,200,1,,,,
BROOKLINE COLLEGE LLC.,200,1,,,,
"CARRINGTON COLLEGE, INC.",403,0,0,,,
CENTRAL ARIZONA COLLEGE,200,1,,,,
CHANDLER-GILBERT COMMUNITY COLLEGE,200,1,,,,
CHARLES OF ITALY BEAUTY COLLEGE,200,1,,,,
COCHISE COUNTY COMMUNITY COLLEGE DISTRICT,406,0,0,,,
COCONINO COMMUNITY COLLEGE DISTRICT,200,1,,,,
COLLEGEAMERICA - FLAGSTAFF,200,1,,,,
CONSERVATORY OF RECORDING ARTS & SCIENCES,404,0,0,,,
DINE COLLEGE,200,1,,,,
"EA EDUCATION, INC. DBA AVALON SCHOOL OF COSMETOLOGY",200,1,,,,
EAST VALLEY INSTITUTE OF TECHNOLOGY,200,1,,,,
EASTERN ARIZONA COLLEGE,200,1,,,,
"EDUVISION, INC.",403,0,0,,,
ESTRELLA MOUNTAIN COMMUNITY COLLEGE,200,1,,,,
GATEWAY COMMUNITY COLLEGE,200,1,,,,
GLENDALE COMMUNITY COLLEGE,200,1,,,,
GRAND CANYON UNIVERSITY,200,1,,,,
HDS TRUCK DRIVING INSTITUTE,200,1,,,,
INTERNATIONAL BAPTIST COLLEGE AND SEMINARY,406,0,0,,,
INTERNATIONAL BARBER COLLEGE L.L.C.,"HTTPSConnectionPool(host='internationalbarber.net', port=443): Max retries exceeded with url: /covid.php (Caused by SSLError(SSLCertVerificationError(""hostname 'internationalbarber.net' doesn't match either of '*.prod.iad2.secureserver.net', 'prod.iad2.secureserver.net'"")))",0,0,,,
KOR BEAUTY ACADEMY INC,200,1,,,,
MESA COMMUNITY COLLEGE,200,1,,,,
"MILESTONES GROUP, L.L.C. THE",200,1,,,,
MOHAVE COUNTY COMMUNITY COLLEGE DISTRICT,200,1,,,,
NAVAJO COUNTY COMMUNITY COLLEGE DISTRICT,200,1,,,,
NORTHERN ARIZONA UNIVERSITY,200,1,,,,
OLYMPUS INC,200,1,,,,
PARADISE VALLEY COMMUNITY COLLEGE,200,1,,,,
PHOENIX COLLEGE,200,1,,,,
PHOENIX INSTITUTE OF HERBAL MEDICINE & ACUPUNCTURE,200,1,,,,
"PHOENIX SEMINARY, INC.",200,1,,,,
PIMA COUNTY COMMUNITY COLLEGE DISTRICT,200,1,,,,
"PMAZ PHOENIX, LLC",200,1,,,,
PRESCOTT COLLEGE INC.,200,1,,,,
PURE AESTHETICS,200,1,,,,
"REGIONAL CENTER FOR BORDER HEALTH, INC.",200,1,,,,
RIO SALADO COLLEGE,200,1,,,,
ROBERTO-VENN SCHOOL OF LUTHIERY,200,1,,,,
SCHOOL OF ARCHITECTURE AT TALIESIN,200,1,,,,
SCOTTSDALE COMMUNITY COLLEGE,200,1,,,,
SOUTH MOUNTAIN COMMUNITY COLLEGE,200,1,,,,
SOUTHWEST COLLEGE OF NATUROPATHIC MEDICINE & HEALTH SCIENCES,200,1,,,,
SOUTHWEST INSTITUTE  OF HEALING ARTS,200,1,,,,
"STUDIO ACADEMY OF BEAUTY, THE LLC",200,1,,,,
THE REFRIGERATION SCHOOL INC,200,1,,,,
THE UNIVERSITY OF ARIZONA,200,1,,,,
TOHONO O'ODHAM COMMUNITY COLLEGE,200,1,,,,
"UNIVERSAL TECHNICAL INSTITUTE OF ARIZONA, INC.",200,1,,,,
"UNIVERSAL TECHNICAL INSTITUTE OF PHOENIX, INC",200,1,,,,
"UNIVERSITY OF ADVANCING COMPUTER TECHNOLOGY, INC.",200,1,,,,
UNIVERSITY OF PHOENIX,200,1,,,,
"VOCATIONAL TRAINING INSTITUTES, INC. DBA PIMA MEDICAL INSTIT",200,1,,,,
WESTERN MARICOPA EDUCATION CENTER #402,404,0,0,,,
YAVAPAI COUNTY COMMUNITY COLLEGE DISTRICT,200,1,,,,
YUMA/LA PAZ COUNTIES COMMUNITY COLLEGE DISTRICTS,200,1,,,,
ACADEMY FOR JEWISH RELIGION CALIFORNIA,200,1,,,,
"ACADEMY FOR SALON PROFESSIONAL, LLC",200,1,,,,
ACADEMY OF CHINESE CULTURE AND HEALTH SCIENCES,200,1,,,,
"ACADEMY OF COUTURE ART, INC.",200,1,,,,
ACADEMY OF ESTHETICS AND COSMETOLOGY,200,1,,,,
"ACUPUNCTURE AND INTEGRATIVE MEDICINE COLLEGE, BERKELEY",200,1,,,,
ADRIANS BEAUTY COLLEGE OF TURLOCK,200,1,,,,
ADVANCE BEAUTY COLLEGE,200,1,,,,
ADVANCED BEAUTY TECHNOLOGY ACADEMY,200,1,,,,
ADVANCED CAREER INSTITUTE,200,1,,,,
ADVANCED COLLEGE,200,1,,,,
"AFFILIATED ACADEMIES, INC. DBA COBA ACADEMY",406,0,0,,,
ALLAN HANCOCK JOINT COMMUNITY COLLEGE DISTRICT,200,1,,,,
"ALLIANT INTERNATIONAL UNIVERSITY, INC",200,1,,,,
AMARILLO COLLEGE OF HAIRDRESSING INC D/B/A MILAN INSTITUTE,403,0,0,,,
"AMARILLO COLLEGE OF HAIRDRESSING, INC D/B/A MILAN INSTITUTE",403,0,0,,,
AMDA INC,200,1,,,,
AMERICA EVANGELICAL UNIVERSITY,406,0,0,,,
AMERICAN BAPTIST SEMINARY OF THE WEST,200,1,,,,
"AMERICAN CAREER COLLEGE, INC.",200,1,,,,
AMERICAN CONSERVATORY THEATER FOUNDATION,200,1,,,,
AMERICAN EDUCATION SYSTEMS INC.,200,1,,,,
AMERICAN FILM INSTITUTE,200,1,,,,
AMERICAN FITNESS AND NUTRITION ACADEMY,200,1,,,,
AMERICAN JEWISH UNIERSITY,200,1,,,,
AMERICAN MEDICAL SCIENCES CENTER,Invalid URL 'https://': No host supplied,0,0,,,
AMERICAN RIVER COLLEGE,200,1,,,,
AMERICAN UNIVERSITY OF HEALTH SCIENCES,403,0,0,,,
ANGELES COLLEGE,200,1,,,,
"ANGELES INSTITUTE, LLC",200,1,,,,
ANNENBERG SCHOOL OF NURSING,200,1,,,,
ANTELOPE VALLEY COMMUNITY COLLEGE DISTRICT,200,1,,,,
ART CENTER COLLEGE OF DESIGN,404,0,0,,,
ASSOCIATED BARBER COLLEGE OF SAN DIEGO,200,1,,,,
ATI COLLEGE,406,0,0,,,
AZUSA PACIFIC UNIVERSITY,200,1,,,,
BAKERSFIELD COLLEGE,200,1,,,,
BALDWIN PARK UNIFIED SCHOOL DISTRICT,200,1,,,,
BALDY VIEW REGIONAL OCCUPATIONAL PROGRAM,200,1,,,,
BARSTOW COMMUNITY COLLEGE,200,1,,,,
BAY AREA MEDICAL ACADEMY,200,1,,,,
BEAUMONT ADULT SCHOOL,200,1,,,,
BEAUTY BOUTIQUE INC.,403,0,0,,,
BERGIN UNIVERSITY OF CANINE STUDIES,200,1,,,,
BETHESDA UNIVERSITY,200,1,,,,
BEYOND 21ST CENTURY BEAUTY ACADEMY,200,1,,,,
"BIOLA UNIVERSITY, INC.",200,1,,,,
BLAKE AUSTIN COLLEGE,200,1,,,,
BOUNTY ISLAND CORP,200,1,,,,
BRANDMAN UNIVERSITY,200,1,,,,
"BROWNSON TECHNICAL SCHOOL, INC.",200,1,,,,
"BUTTE COLLEGE, BUTTE-GLENN COMMUNITY COLLEGE DISTRICT",200,1,,,,
BUTTE COUNTY REGIONAL OCCUPATIONAL PROGRAMS,Invalid URL 'https://': No host supplied,0,0,,,
CABRILLO COMMUNITY COLLEGE DISTRICT,200,1,,,,
"CAL CBC, LLC",200,1,,,,
CAL POLY CORPORATION,200,1,,,,
CALIFORNIA BAPTIST UNIVERSITY,200,1,,,,
CALIFORNIA BARBER AND BEAUTY COLLEGE INC.,"HTTPSConnectionPool(host='www.californiabarberandbeautycollege.com', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x0000020B2A4D7100>, 'Connection to www.californiabarberandbeautycollege.com timed out. (connect timeout=15)'))",0,0,,,
CALIFORNIA CAREER INSTITUTE,200,1,,,,
CALIFORNIA CHRISTIAN COLLEGE,200,1,,,,
CALIFORNIA COLLEGE OF THE ARTS,200,1,,,,
CALIFORNIA COLLEGE SAN DIEGO,"HTTPSConnectionPool(host='cc-sd.edu', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1125)')))",0,0,,,
CALIFORNIA HAIR DESIGN ACADEMY INC.,403,0,0,,,
CALIFORNIA INSTITUTE OF ADVANCED MANAGEMENT,200,1,,,,
CALIFORNIA INSTITUTE OF ARTS & TECHNOLOGY,"HTTPSConnectionPool(host='www.ciat.edu', port=443): Max retries exceeded with url: /ciat-consumer-information (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1125)')))",0,0,,,
CALIFORNIA INSTITUTE OF INTEGRAL STUDIES,404,0,0,,,
CALIFORNIA INSTITUTE OF MEDICAL SCIENCE,200,1,,,,
CALIFORNIA INSTITUTE OF THE ARTS,"HTTPSConnectionPool(host='calarts.edu', port=443): Max retries exceeded with url: /about/news-and-events/newsroom/institute-news/cares-act-emergency-grants (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1125)')))",0,0,,,
CALIFORNIA JAZZ CONSERVATORY,200,1,,,,
CALIFORNIA LUTHERAN UNIVERSITY,200,1,,,,
"CALIFORNIA MIRAMAR UNIVERSITY, INC",403,0,0,,,
"CALIFORNIA NURSES EDUCATIONAL INSTITUTE, INC.",200,1,,,,
CALIFORNIA POLYTECHNIC STATE UNIVERSITY,200,1,,,,
CALIFORNIA SCHOOL OF COSMETOLOGY INC,"HTTPSConnectionPool(host='www.calbeautycollege.edu', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'www.calbeautycollege.edu' doesn't match either of '*.cloudaccess.net', 'cloudaccess.net'"")))",0,0,,,
"CALIFORNIA STATE POLYTECHNIC UNIVERSITY, POMONA",404,0,0,,,
CALIFORNIA STATE UNIVERSITY BAKERSFIELD,200,1,,,,
CALIFORNIA STATE UNIVERSITY CHICO,200,1,,,,
